decimal_date,monthly_average,Unnamed: 2,fips,county_name
1958.2027,315.71,,nan,
1958.2877,317.45,,nan,
1958.3699,317.51,,nan,
1958.4548,317.27,,nan,
1958.537,315.87,,nan,
1958.6219,314.93,,nan,
1958.7068,313.21,,nan,
1958.789,312.42,,nan,
1958.874,313.33,,nan,
1958.9562,314.67,,nan,
1959.0411,315.58,,nan,
1959.126,316.49,,nan,
1959.2027,316.65,,nan,
1959.2877,317.72,,nan,
1959.3699,318.29,,nan,
1959.4548,318.15,,nan,
1959.537,316.54,,nan,
1959.6219,314.8,,nan,
1959.7068,313.84,,nan,
1959.789,313.33,,nan,
1959.874,314.81,,nan,
1959.9562,315.58,,nan,
1960.041,316.43,,nan,
1960.1257,316.98,,nan,
1960.2049,317.58,,nan,
1960.2896,319.03,,nan,
1960.3716,320.03,,nan,
1960.4563,319.58,,nan,
1960.5383,318.18,,nan,
1960.623,315.9,,nan,
1960.7077,314.17,,nan,
1960.7896,313.83,,nan,
1960.8743,315,,nan,
1960.9563,316.19,,nan,
1961.0411,316.89,,nan,
1961.126,317.7,,nan,
1961.2027,318.54,,nan,
1961.2877,319.48,,nan,
1961.3699,320.58,,nan,
1961.4548,319.77,,nan,
1961.537,318.56,,nan,
1961.6219,316.79,,nan,
1961.7068,314.99,,nan,
1961.789,315.31,,nan,
1961.874,316.1,,nan,
1961.9562,317.01,,nan,
1962.0411,317.94,,nan,
1962.126,318.55,,nan,
1962.2027,319.68,,nan,
1962.2877,320.57,,nan,
1962.3699,321.02,,nan,
1962.4548,320.62,,nan,
1962.537,319.61,,nan,
1962.6219,317.4,,nan,
1962.7068,316.24,,nan,
1962.789,315.42,,nan,
1962.874,316.69,,nan,
1962.9562,317.7,,nan,
1963.0411,318.74,,nan,
1963.126,319.07,,nan,
1963.2027,319.86,,nan,
1963.2877,321.38,,nan,
1963.3699,322.24,,nan,
1963.4548,321.49,,nan,
1963.537,319.74,,nan,
1963.6219,317.77,,nan,
1963.7068,316.21,,nan,
1963.789,315.99,,nan,
1963.874,317.07,,nan,
1963.9562,318.35,,nan,
1964.041,319.57,,nan,
1964.1257,320.04,,nan,
1964.2049,320.75,,nan,
1964.2896,321.84,,nan,
1964.3716,322.25,,nan,
1964.4563,321.89,,nan,
1964.5383,320.44,,nan,
1964.623,318.69,,nan,
1964.7077,316.71,,nan,
1964.7896,316.87,,nan,
1964.8743,317.68,,nan,
1964.9563,318.71,,nan,
1965.0411,319.44,,nan,
1965.126,320.44,,nan,
1965.2027,320.89,,nan,
1965.2877,322.14,,nan,
1965.3699,322.17,,nan,
1965.4548,321.87,,nan,
1965.537,321.21,,nan,
1965.6219,318.87,,nan,
1965.7068,317.82,,nan,
1965.789,317.3,,nan,
1965.874,318.87,,nan,
1965.9562,319.42,,nan,
1966.0411,320.62,,nan,
1966.126,321.6,,nan,
1966.2027,322.39,,nan,
1966.2877,323.7,,nan,
1966.3699,324.08,,nan,
1966.4548,323.75,,nan,
1966.537,322.37,,nan,
1966.6219,320.36,,nan,
1966.7068,318.64,,nan,
1966.789,318.1,,nan,
1966.874,319.78,,nan,
1966.9562,321.02,,nan,
1967.0411,322.33,,nan,
1967.126,322.5,,nan,
1967.2027,323.03,,nan,
1967.2877,324.41,,nan,
1967.3699,325,,nan,
1967.4548,324.09,,nan,
1967.537,322.54,,nan,
1967.6219,320.92,,nan,
1967.7068,319.25,,nan,
1967.789,319.39,,nan,
1967.874,320.73,,nan,
1967.9562,321.96,,nan,
1968.041,322.57,,nan,
1968.1257,323.15,,nan,
1968.2049,323.89,,nan,
1968.2896,325.02,,nan,
1968.3716,325.57,,nan,
1968.4563,325.36,,nan,
1968.5383,324.14,,nan,
1968.623,322.11,,nan,
1968.7077,320.33,,nan,
1968.7896,320.25,,nan,
1968.8743,321.32,,nan,
1968.9563,322.89,,nan,
1969.0411,324,,nan,
1969.126,324.41,,nan,
1969.2027,325.63,,nan,
1969.2877,326.66,,nan,
1969.3699,327.38,,nan,
1969.4548,326.71,,nan,
1969.537,325.88,,nan,
1969.6219,323.66,,nan,
1969.7068,322.38,,nan,
1969.789,321.78,,nan,
1969.874,322.85,,nan,
1969.9562,324.11,,nan,
1970.0411,325.06,,nan,
1970.126,325.99,,nan,
1970.2027,326.93,,nan,
1970.2877,328.13,,nan,
1970.3699,328.08,,nan,
1970.4548,327.67,,nan,
1970.537,326.34,,nan,
1970.6219,324.68,,nan,
1970.7068,323.1,,nan,
1970.789,323.06,,nan,
1970.874,324.01,,nan,
1970.9562,325.13,,nan,
1971.0411,326.17,,nan,
1971.126,326.69,,nan,
1971.2027,327.18,,nan,
1971.2877,327.78,,nan,
1971.3699,328.93,,nan,
1971.4548,328.57,,nan,
1971.537,327.36,,nan,
1971.6219,325.43,,nan,
1971.7068,323.36,,nan,
1971.789,323.56,,nan,
1971.874,324.8,,nan,
1971.9562,326.01,,nan,
1972.041,326.77,,nan,
1972.1257,327.63,,nan,
1972.2049,327.75,,nan,
1972.2896,329.72,,nan,
1972.3716,330.07,,nan,
1972.4563,329.09,,nan,
1972.5383,328.04,,nan,
1972.623,326.32,,nan,
1972.7077,324.84,,nan,
1972.7896,325.2,,nan,
1972.8743,326.5,,nan,
1972.9563,327.55,,nan,
1973.0411,328.55,,nan,
1973.126,329.57,,nan,
1973.2027,330.3,,nan,
1973.2877,331.5,,nan,
1973.3699,332.48,,nan,
1973.4548,332.07,,nan,
1973.537,330.87,,nan,
1973.6219,329.31,,nan,
1973.7068,327.52,,nan,
1973.789,327.19,,nan,
1973.874,328.17,,nan,
1973.9562,328.65,,nan,
1974.0411,329.36,,nan,
1974.126,330.71,,nan,
1974.2027,331.49,,nan,
1974.2877,332.65,,nan,
1974.375,333.19,,nan,
1974.4583,332.2,,nan,
1974.5417,331.07,,nan,
1974.625,329.15,,nan,
1974.7083,327.33,,nan,
1974.7917,327.28,,nan,
1974.875,328.31,,nan,
1974.9583,329.58,,nan,
1975.0417,330.73,,nan,
1975.125,331.46,,nan,
1975.2083,331.94,,nan,
1975.2917,333.11,,nan,
1975.375,333.95,,nan,
1975.4583,333.42,,nan,
1975.5417,331.97,,nan,
1975.625,329.95,,nan,
1975.7083,328.5,,nan,
1975.7917,328.36,,nan,
1975.875,329.38,,nan,
1975.9583,330.76,,nan,
1976.0417,331.56,,nan,
1976.125,332.74,,nan,
1976.2083,333.36,,nan,
1976.2917,334.74,,nan,
1976.375,334.72,,nan,
1976.4583,333.97,,nan,
1976.5417,333.08,,nan,
1976.625,330.68,,nan,
1976.7083,328.96,,nan,
1976.7917,328.72,,nan,
1976.875,330.16,,nan,
1976.9583,331.62,,nan,
1977.0417,332.68,,nan,
1977.125,333.17,,nan,
1977.2083,334.96,,nan,
1977.2917,336.14,,nan,
1977.375,336.93,,nan,
1977.4583,336.17,,nan,
1977.5417,334.89,,nan,
1977.625,332.56,,nan,
1977.7083,331.29,,nan,
1977.7917,331.28,,nan,
1977.875,332.46,,nan,
1977.9583,333.6,,nan,
1978.0417,334.94,,nan,
1978.125,335.26,,nan,
1978.2083,336.66,,nan,
1978.2917,337.69,,nan,
1978.375,338.02,,nan,
1978.4583,338.01,,nan,
1978.5417,336.5,,nan,
1978.625,334.42,,nan,
1978.7083,332.36,,nan,
1978.7917,332.45,,nan,
1978.875,333.76,,nan,
1978.9583,334.91,,nan,
1979.0417,336.14,,nan,
1979.125,336.69,,nan,
1979.2083,338.27,,nan,
1979.2917,338.82,,nan,
1979.375,339.24,,nan,
1979.4583,339.26,,nan,
1979.5417,337.54,,nan,
1979.625,335.72,,nan,
1979.7083,333.97,,nan,
1979.7917,334.24,,nan,
1979.875,335.32,,nan,
1979.9583,336.81,,nan,
1980.0417,337.9,,nan,
1980.125,338.34,,nan,
1980.2083,340.07,,nan,
1980.2917,340.93,,nan,
1980.375,341.45,,nan,
1980.4583,341.36,,nan,
1980.5417,339.45,,nan,
1980.625,337.67,,nan,
1980.7083,336.25,,nan,
1980.7917,336.14,,nan,
1980.875,337.3,,nan,
1980.9583,338.29,,nan,
1981.0417,339.29,,nan,
1981.125,340.55,,nan,
1981.2083,341.63,,nan,
1981.2917,342.6,,nan,
1981.375,343.04,,nan,
1981.4583,342.54,,nan,
1981.5417,340.82,,nan,
1981.625,338.48,,nan,
1981.7083,336.95,,nan,
1981.7917,337.05,,nan,
1981.875,338.57,,nan,
1981.9583,339.91,,nan,
1982.0417,340.93,,nan,
1982.125,341.76,,nan,
1982.2083,342.78,,nan,
1982.2917,343.96,,nan,
1982.375,344.77,,nan,
1982.4583,343.88,,nan,
1982.5417,342.42,,nan,
1982.625,340.24,,nan,
1982.7083,338.38,,nan,
1982.7917,338.41,,nan,
1982.875,339.44,,nan,
1982.9583,340.78,,nan,
1983.0417,341.57,,nan,
1983.125,342.78,,nan,
1983.2083,343.37,,nan,
1983.2917,345.4,,nan,
1983.375,346.14,,nan,
1983.4583,345.76,,nan,
1983.5417,344.32,,nan,
1983.625,342.51,,nan,
1983.7083,340.46,,nan,
1983.7917,340.53,,nan,
1983.875,341.79,,nan,
1983.9583,343.2,,nan,
1984.0417,344.21,,nan,
1984.125,344.92,,nan,
1984.2083,345.68,,nan,
1984.2917,347.37,,nan,
1984.375,347.78,,nan,
1984.4583,347.16,,nan,
1984.5417,345.79,,nan,
1984.625,343.74,,nan,
1984.7083,341.59,,nan,
1984.7917,341.86,,nan,
1984.875,343.31,,nan,
1984.9583,345,,nan,
1985.0417,345.48,,nan,
1985.125,346.41,,nan,
1985.2083,347.91,,nan,
1985.2917,348.66,,nan,
1985.375,349.28,,nan,
1985.4583,348.65,,nan,
1985.5417,346.9,,nan,
1985.625,345.26,,nan,
1985.7083,343.47,,nan,
1985.7917,343.35,,nan,
1985.875,344.73,,nan,
1985.9583,346.12,,nan,
1986.0417,346.78,,nan,
1986.125,347.48,,nan,
1986.2083,348.25,,nan,
1986.2917,349.86,,nan,
1986.375,350.52,,nan,
1986.4583,349.98,,nan,
1986.5417,348.25,,nan,
1986.625,346.17,,nan,
1986.7083,345.48,,nan,
1986.7917,344.82,,nan,
1986.875,346.22,,nan,
1986.9583,347.48,,nan,
1987.0417,348.73,,nan,
1987.125,348.92,,nan,
1987.2083,349.81,,nan,
1987.2917,351.4,,nan,
1987.375,352.15,,nan,
1987.4583,351.58,,nan,
1987.5417,350.21,,nan,
1987.625,348.2,,nan,
1987.7083,346.66,,nan,
1987.7917,346.72,,nan,
1987.875,348.08,,nan,
1987.9583,349.28,,nan,
1988.0417,350.51,,nan,
1988.125,351.7,,nan,
1988.2083,352.5,,nan,
1988.2917,353.67,,nan,
1988.375,354.35,,nan,
1988.4583,353.88,,nan,
1988.5417,352.8,,nan,
1988.625,350.49,,nan,
1988.7083,348.97,,nan,
1988.7917,349.37,,nan,
1988.875,350.42,,nan,
1988.9583,351.62,,nan,
1989.0417,353.07,,nan,
1989.125,353.43,,nan,
1989.2083,354.08,,nan,
1989.2917,355.72,,nan,
1989.375,355.95,,nan,
1989.4583,355.44,,nan,
1989.5417,354.05,,nan,
1989.625,351.84,,nan,
1989.7083,350.09,,nan,
1989.7917,350.33,,nan,
1989.875,351.55,,nan,
1989.9583,352.91,,nan,
1990.0417,353.86,,nan,
1990.125,355.1,,nan,
1990.2083,355.75,,nan,
1990.2917,356.38,,nan,
1990.375,357.38,,nan,
1990.4583,356.39,,nan,
1990.5417,354.89,,nan,
1990.625,353.06,,nan,
1990.7083,351.38,,nan,
1990.7917,351.69,,nan,
1990.875,353.14,,nan,
1990.9583,354.41,,nan,
1991.0417,354.93,,nan,
1991.125,355.82,,nan,
1991.2083,357.33,,nan,
1991.2917,358.77,,nan,
1991.375,359.23,,nan,
1991.4583,358.23,,nan,
1991.5417,356.3,,nan,
1991.625,353.97,,nan,
1991.7083,352.34,,nan,
1991.7917,352.43,,nan,
1991.875,353.89,,nan,
1991.9583,355.21,,nan,
1992.0417,356.34,,nan,
1992.125,357.21,,nan,
1992.2083,357.97,,nan,
1992.2917,359.22,,nan,
1992.375,359.71,,nan,
1992.4583,359.44,,nan,
1992.5417,357.15,,nan,
1992.625,354.99,,nan,
1992.7083,353.01,,nan,
1992.7917,353.41,,nan,
1992.875,354.42,,nan,
1992.9583,355.68,,nan,
1993.0417,357.1,,nan,
1993.125,357.42,,nan,
1993.2083,358.59,,nan,
1993.2917,359.39,,nan,
1993.375,360.3,,nan,
1993.4583,359.64,,nan,
1993.5417,357.45,,nan,
1993.625,355.76,,nan,
1993.7083,354.14,,nan,
1993.7917,354.23,,nan,
1993.875,355.53,,nan,
1993.9583,357.03,,nan,
1994.0417,358.36,,nan,
1994.125,359.04,,nan,
1994.2083,360.11,,nan,
1994.2917,361.36,,nan,
1994.375,361.78,,nan,
1994.4583,360.94,,nan,
1994.5417,359.51,,nan,
1994.625,357.59,,nan,
1994.7083,355.86,,nan,
1994.7917,356.21,,nan,
1994.875,357.65,,nan,
1994.9583,359.1,,nan,
1995.0417,360.04,,nan,
1995.125,361,,nan,
1995.2083,361.98,,nan,
1995.2917,363.44,,nan,
1995.375,363.83,,nan,
1995.4583,363.33,,nan,
1995.5417,361.78,,nan,
1995.625,359.33,,nan,
1995.7083,358.32,,nan,
1995.7917,358.14,,nan,
1995.875,359.61,,nan,
1995.9583,360.82,,nan,
1996.0417,362.2,,nan,
1996.125,363.36,,nan,
1996.2083,364.28,,nan,
1996.2917,364.69,,nan,
1996.375,365.25,,nan,
1996.4583,365.06,,nan,
1996.5417,363.69,,nan,
1996.625,361.55,,nan,
1996.7083,359.69,,nan,
1996.7917,359.72,,nan,
1996.875,361.04,,nan,
1996.9583,362.39,,nan,
1997.0417,363.24,,nan,
1997.125,364.21,,nan,
1997.2083,364.65,,nan,
1997.2917,366.49,,nan,
1997.375,366.77,,nan,
1997.4583,365.73,,nan,
1997.5417,364.46,,nan,
1997.625,362.4,,nan,
1997.7083,360.44,,nan,
1997.7917,360.97,,nan,
1997.875,362.65,,nan,
1997.9583,364.51,,nan,
1998.0417,365.39,,nan,
1998.125,366.1,,nan,
1998.2083,367.36,,nan,
1998.2917,368.79,,nan,
1998.375,369.56,,nan,
1998.4583,369.13,,nan,
1998.5417,367.98,,nan,
1998.625,366.1,,nan,
1998.7083,364.16,,nan,
1998.7917,364.54,,nan,
1998.875,365.67,,nan,
1998.9583,367.3,,nan,
1999.0417,368.35,,nan,
1999.125,369.28,,nan,
1999.2083,369.84,,nan,
1999.2917,371.15,,nan,
1999.375,371.12,,nan,
1999.4583,370.46,,nan,
1999.5417,369.61,,nan,
1999.625,367.06,,nan,
1999.7083,364.95,,nan,
1999.7917,365.52,,nan,
1999.875,366.88,,nan,
1999.9583,368.26,,nan,
2000.0417,369.45,,nan,
2000.125,369.71,,nan,
2000.2083,370.75,,nan,
2000.2917,371.98,,nan,
2000.375,371.75,,nan,
2000.4583,371.87,,nan,
2000.5417,370.02,,nan,
2000.625,368.27,,nan,
2000.7083,367.15,,nan,
2000.7917,367.18,,nan,
2000.875,368.53,,nan,
2000.9583,369.83,,nan,
2001.0417,370.76,,nan,
2001.125,371.69,,nan,
2001.2083,372.63,,nan,
2001.2917,373.55,,nan,
2001.375,374.03,,nan,
2001.4583,373.4,,nan,
2001.5417,371.68,,nan,
2001.625,369.78,,nan,
2001.7083,368.34,,nan,
2001.7917,368.61,,nan,
2001.875,369.94,,nan,
2001.9583,371.42,,nan,
2002.0417,372.7,,nan,
2002.125,373.37,,nan,
2002.2083,374.3,,nan,
2002.2917,375.19,,nan,
2002.375,375.93,,nan,
2002.4583,375.69,,nan,
2002.5417,374.16,,nan,
2002.625,372.03,,nan,
2002.7083,370.92,,nan,
2002.7917,370.73,,nan,
2002.875,372.43,,nan,
2002.9583,373.98,,nan,
2003.0417,375.07,,nan,
2003.125,375.82,,nan,
2003.2083,376.64,,nan,
2003.2917,377.92,,nan,
2003.375,378.78,,nan,
2003.4583,378.46,,nan,
2003.5417,376.88,,nan,
2003.625,374.57,,nan,
2003.7083,373.34,,nan,
2003.7917,373.31,,nan,
2003.875,374.84,,nan,
2003.9583,376.17,,nan,
2004.0417,377.17,,nan,
2004.125,378.05,,nan,
2004.2083,379.06,,nan,
2004.2917,380.54,,nan,
2004.375,380.8,,nan,
2004.4583,379.87,,nan,
2004.5417,377.65,,nan,
2004.625,376.17,,nan,
2004.7083,374.43,,nan,
2004.7917,374.63,,nan,
2004.875,376.33,,nan,
2004.9583,377.68,,nan,
2005.0417,378.63,,nan,
2005.125,379.91,,nan,
2005.2083,380.95,,nan,
2005.2917,382.48,,nan,
2005.375,382.64,,nan,
2005.4583,382.4,,nan,
2005.5417,380.93,,nan,
2005.625,378.93,,nan,
2005.7083,376.89,,nan,
2005.7917,377.19,,nan,
2005.875,378.54,,nan,
2005.9583,380.31,,nan,
2006.0417,381.58,,nan,
2006.125,382.4,,nan,
2006.2083,382.86,,nan,
2006.2917,384.8,,nan,
2006.375,385.22,,nan,
2006.4583,384.24,,nan,
2006.5417,382.65,,nan,
2006.625,380.6,,nan,
2006.7083,379.04,,nan,
2006.7917,379.33,,nan,
2006.875,380.35,,nan,
2006.9583,382.02,,nan,
2007.0417,383.1,,nan,
2007.125,384.12,,nan,
2007.2083,384.81,,nan,
2007.2917,386.73,,nan,
2007.375,386.78,,nan,
2007.4583,386.33,,nan,
2007.5417,384.73,,nan,
2007.625,382.24,,nan,
2007.7083,381.2,,nan,
2007.7917,381.37,,nan,
2007.875,382.7,,nan,
2007.9583,384.19,,nan,
2008.0417,385.78,,nan,
2008.125,386.06,,nan,
2008.2083,386.28,,nan,
2008.2917,387.33,,nan,
2008.375,388.78,,nan,
2008.4583,387.99,,nan,
2008.5417,386.61,,nan,
2008.625,384.32,,nan,
2008.7083,383.41,,nan,
2008.7917,383.22,,nan,
2008.875,384.41,,nan,
2008.9583,385.79,,nan,
2009.0417,387.17,,nan,
2009.125,387.7,,nan,
2009.2083,389.04,,nan,
2009.2917,389.76,,nan,
2009.375,390.36,,nan,
2009.4583,389.7,,nan,
2009.5417,388.24,,nan,
2009.625,386.29,,nan,
2009.7083,384.95,,nan,
2009.7917,384.64,,nan,
2009.875,386.23,,nan,
2009.9583,387.63,,nan,
2010.0417,388.91,,nan,
2010.125,390.41,,nan,
2010.2083,391.37,,nan,
2010.2917,392.67,,nan,
2010.375,393.21,,nan,
2010.4583,392.38,,nan,
2010.5417,390.41,,nan,
2010.625,388.54,,nan,
2010.7083,387.03,,nan,
2010.7917,387.43,,nan,
2010.875,388.87,,nan,
2010.9583,389.99,,nan,
2011.0417,391.5,,nan,
2011.125,392.05,,nan,
2011.2083,392.8,,nan,
2011.2917,393.44,,nan,
2011.375,394.41,,nan,
2011.4583,393.95,,nan,
2011.5417,392.72,,nan,
2011.625,390.33,,nan,
2011.7083,389.28,,nan,
2011.7917,389.19,,nan,
2011.875,390.48,,nan,
2011.9583,392.06,,nan,
2012.0417,393.31,,nan,
2012.125,394.04,,nan,
2012.2083,394.59,,nan,
2012.2917,396.38,,nan,
2012.375,396.93,,nan,
2012.4583,395.91,,nan,
2012.5417,394.56,,nan,
2012.625,392.59,,nan,
2012.7083,391.32,,nan,
2012.7917,391.27,,nan,
2012.875,393.2,,nan,
2012.9583,394.57,,nan,
2013.0417,395.78,,nan,
2013.125,397.03,,nan,
2013.2083,397.66,,nan,
2013.2917,398.64,,nan,
2013.375,400.02,,nan,
2013.4583,398.81,,nan,
2013.5417,397.51,,nan,
2013.625,395.39,,nan,
2013.7083,393.72,,nan,
2013.7917,393.9,,nan,
2013.875,395.36,,nan,
2013.9583,397.03,,nan,
2014.0417,398.04,,nan,
2014.125,398.27,,nan,
2014.2083,399.91,,nan,
2014.2917,401.51,,nan,
2014.375,401.96,,nan,
2014.4583,401.43,,nan,
2014.5417,399.27,,nan,
2014.625,397.18,,nan,
2014.7083,395.54,,nan,
2014.7917,396.16,,nan,
2014.875,397.4,,nan,
2014.9583,399.08,,nan,
2015.0417,400.18,,nan,
2015.125,400.55,,nan,
2015.2083,401.74,,nan,
2015.2917,403.35,,nan,
2015.375,404.15,,nan,
2015.4583,402.97,,nan,
2015.5417,401.46,,nan,
2015.625,399.11,,nan,
2015.7083,397.82,,nan,
2015.7917,398.49,,nan,
2015.875,400.27,,nan,
2015.9583,402.06,,nan,
2016.0417,402.73,,nan,
2016.125,404.25,,nan,
2016.2083,405.06,,nan,
2016.2917,407.6,,nan,
2016.375,407.9,,nan,
2016.4583,406.99,,nan,
2016.5417,404.59,,nan,
2016.625,402.45,,nan,
2016.7083,401.23,,nan,
2016.7917,401.79,,nan,
2016.875,403.72,,nan,
2016.9583,404.64,,nan,
2017.0417,406.36,,nan,
2017.125,406.66,,nan,
2017.2083,407.54,,nan,
2017.2917,409.22,,nan,
2017.375,409.89,,nan,
2017.4583,409.08,,nan,
2017.5417,407.33,,nan,
2017.625,405.32,,nan,
2017.7083,403.57,,nan,
2017.7917,403.82,,nan,
2017.875,405.31,,nan,
2017.9583,407,,nan,
2018.0417,408.15,,nan,
2018.125,408.52,,nan,
2018.2083,409.59,,nan,
2018.2917,410.45,,nan,
2018.375,411.44,,nan,
2018.4583,410.99,,nan,
2018.5417,408.9,,nan,
2018.625,407.16,,nan,
2018.7083,405.71,,nan,
2018.7917,406.19,,nan,
2018.875,408.21,,nan,
2018.9583,409.27,,nan,
2019.0417,411.03,,nan,
2019.125,411.96,,nan,
2019.2083,412.18,,nan,
2019.2917,413.54,,nan,
2019.375,414.86,,nan,
2019.4583,414.15,,nan,
2019.5417,411.96,,nan,
2019.625,410.17,,nan,
2019.7083,408.76,,nan,
2019.7917,408.74,,nan,
2019.875,410.47,,nan,
2019.9583,411.97,,nan,
2020.0417,413.59,,nan,
2020.125,414.32,,nan,
2020.2083,414.72,,nan,
2020.2917,416.42,,nan,
2020.375,417.28,,nan,
2020.4583,416.58,,nan,
2020.5417,414.58,,nan,
2020.625,412.75,,nan,
2020.7083,411.49,,nan,
2020.7917,411.48,,nan,
2020.875,413.1,,nan,
2020.9583,414.23,,nan,
2021.0417,415.49,,nan,
2021.125,416.72,,nan,
2021.2083,417.61,,nan,
2021.2917,419.01,,nan,
2021.375,419.09,,nan,
2021.4583,418.93,,nan,
2021.5417,416.9,,nan,
2021.625,414.42,,nan,
2021.7083,413.26,,nan,
2021.7917,413.9,,nan,
2021.875,414.97,,nan,
2021.9583,416.67,,nan,
2022.0417,418.13,,nan,
2022.125,419.24,,nan,
2022.2083,418.76,,nan,
2022.2917,420.19,,nan,
2022.375,420.97,,nan,
2022.4583,420.94,,nan,
2022.5417,418.85,,nan,
2022.625,417.15,,nan,
2022.7083,415.91,,nan,
2022.7917,415.74,,nan,
2022.875,417.47,,nan,
2022.9583,418.99,,nan,
2023.0417,419.47,,nan,
2023.125,420.31,,nan,
2023.2083,420.99,,nan,
2023.2917,423.31,,nan,
2023.375,424,,nan,
2023.4583,423.68,,nan,
2023.5417,421.83,,nan,
2023.625,419.68,,nan,
2023.7083,418.51,,nan,
2023.7917,418.82,,nan,
2023.875,420.46,,nan,
2023.9583,421.86,,nan,
2024.0417,422.8,,nan,
2024.125,424.55,,nan,
2024.2083,425.38,,nan,
2024.2917,426.51,,nan,
2024.375,426.9,,nan,
2024.4583,426.91,,nan,
2024.5417,425.55,,nan,
2024.625,422.99,,nan,
2024.7083,422.03,,nan,
